id,index,model,peel,OSG_start,OSG_end,OSG_runtime
81-Simple_Lorenzen_tv_trend-4,81,Simple_Lorenzen_tv_trend,4,2024-11-05T00:38:43Z,2024-11-05T00:40:38Z,1.91666666666667
82-Simple_NoCPUE-4,82,Simple_NoCPUE,4,2024-11-05T00:38:45Z,2024-11-05T00:39:48Z,1.05
83-Simple_with_Discard-4,83,Simple_with_Discard,4,2024-11-05T00:38:25Z,2024-11-05T00:40:52Z,2.45
84-Simple_with_DM_sizefreq-4,84,Simple_with_DM_sizefreq,4,2024-11-05T00:39:14Z,2024-11-05T00:44:16Z,5.03333333333333
85-Spinydogfish_2011-4,85,Spinydogfish_2011,4,2024-11-05T00:38:45Z,2024-11-05T00:45:28Z,6.71666666666667
86-tagging_mirrored_sel-4,86,tagging_mirrored_sel,4,2024-11-05T00:38:20Z,2024-11-05T00:40:12Z,1.86666666666667
87-three_area_nomove-4,87,three_area_nomove,4,2024-11-05T00:38:20Z,2024-11-05T00:40:52Z,2.53333333333333
88-two_morph_seas_areas-4,88,two_morph_seas_areas,4,2024-11-05T00:38:46Z,2024-11-05T00:43:12Z,4.43333333333333
89-vermillion_snapper-4,89,vermillion_snapper,4,2024-11-05T00:38:27Z,2024-11-05T00:44:41Z,6.23333333333333
90-vermillion_snapper_F4-4,90,vermillion_snapper_F4,4,2024-11-05T00:38:46Z,2024-11-05T00:40:43Z,1.95
